,Ether_dst,Ether_src,IP_id,IP_len,IP_ttl,TCP_dataofs,TCP_dport,TCP_seq,TCP_sport,TCP_window,load_len,IP_proto_icmp,IP_proto_igmp,IP_proto_tcp,IP_proto_udp,TCP_flags_A,TCP_flags_FA,TCP_flags_PA,TCP_flags_R,TCP_flags_RA,TCP_flags_S,TCP_flags_SA,label_src
187,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,19928.0,52.0,64.0,8.0,80.0,2662700881.0,46108.0,1369.0,,0,0,1,0,0,1,0,0,0,0,0,3
189,e0:55:3d:02:41:21,84:38:35:5a:70:40,8509.0,52.0,64.0,8.0,334.0,3969209055.0,59556.0,4088.0,,0,0,1,0,1,0,0,0,0,0,0,1
191,e0:55:3d:02:41:21,84:38:35:5a:70:40,49459.0,52.0,64.0,8.0,334.0,3886515472.0,59557.0,4088.0,,0,0,1,0,1,0,0,0,0,0,0,1
192,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,24305.0,60.0,64.0,10.0,80.0,30966907.0,46109.0,65535.0,,0,0,1,0,0,0,0,0,0,1,0,3
195,e0:55:3d:02:41:21,84:38:35:5a:70:40,26431.0,203.0,64.0,8.0,334.0,3463313580.0,59554.0,9675.0,462.0,0,0,1,0,0,0,1,0,0,0,0,1
196,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,19929.0,52.0,64.0,8.0,80.0,2662700882.0,46108.0,1369.0,,0,0,1,0,1,0,0,0,0,0,0,3
197,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,24306.0,52.0,64.0,8.0,80.0,30966908.0,46109.0,1369.0,,0,0,1,0,1,0,0,0,0,0,0,3
198,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,24307.0,52.0,64.0,8.0,80.0,30966908.0,46109.0,1369.0,,0,0,1,0,0,1,0,0,0,0,0,3
199,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,37180.0,60.0,64.0,10.0,80.0,4098640817.0,46110.0,65535.0,,0,0,1,0,0,0,0,0,0,1,0,3
240,e0:55:3d:02:41:21,84:38:35:5a:70:40,29940.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9588.0,,0,0,1,0,1,0,0,0,0,0,0,1
241,e0:55:3d:02:41:21,84:38:35:5a:70:40,51740.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9588.0,,0,0,1,0,1,0,0,0,0,0,0,1
242,e0:55:3d:02:41:21,84:38:35:5a:70:40,38227.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9675.0,,0,0,1,0,1,0,0,0,0,0,0,1
249,e0:55:3d:02:41:21,84:38:35:5a:70:40,4280.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9631.0,,0,0,1,0,1,0,0,0,0,0,0,1
250,e0:55:3d:02:41:21,84:38:35:5a:70:40,32542.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9544.0,,0,0,1,0,1,0,0,0,0,0,0,1
251,e0:55:3d:02:41:21,84:38:35:5a:70:40,34375.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9458.0,,0,0,1,0,1,0,0,0,0,0,0,1
252,e0:55:3d:02:41:21,84:38:35:5a:70:40,41440.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9457.0,,0,0,1,0,1,0,0,0,0,0,0,1
253,e0:55:3d:02:41:21,84:38:35:5a:70:40,43084.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9675.0,,0,0,1,0,1,0,0,0,0,0,0,1
254,e0:55:3d:02:41:21,84:38:35:5a:70:40,48561.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9545.0,,0,0,1,0,1,0,0,0,0,0,0,1
256,e0:55:3d:02:41:21,84:38:35:5a:70:40,28540.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9502.0,,0,0,1,0,1,0,0,0,0,0,0,1
258,e0:55:3d:02:41:21,84:38:35:5a:70:40,53800.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9632.0,,0,0,1,0,1,0,0,0,0,0,0,1
259,e0:55:3d:02:41:21,84:38:35:5a:70:40,59652.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9632.0,,0,0,1,0,1,0,0,0,0,0,0,1
260,e0:55:3d:02:41:21,84:38:35:5a:70:40,47522.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9545.0,,0,0,1,0,1,0,0,0,0,0,0,1
261,e0:55:3d:02:41:21,84:38:35:5a:70:40,62579.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9675.0,,0,0,1,0,1,0,0,0,0,0,0,1
262,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,24308.0,52.0,64.0,8.0,80.0,30966909.0,46109.0,1369.0,,0,0,1,0,1,0,0,0,0,0,0,3
263,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,37181.0,52.0,64.0,8.0,80.0,4098640818.0,46110.0,1369.0,,0,0,1,0,1,0,0,0,0,0,0,3
264,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,37182.0,52.0,64.0,8.0,80.0,4098640818.0,46110.0,1369.0,,0,0,1,0,0,1,0,0,0,0,0,3
265,e0:55:3d:02:41:21,84:38:35:5a:70:40,44733.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9651.0,,0,0,1,0,1,0,0,0,0,0,0,1
266,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,39031.0,71.0,64.0,,,,,,,0,0,0,1,0,0,0,0,0,0,0,3
268,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,57296.0,40.0,64.0,5.0,80.0,2398468892.0,36313.0,1403.0,,0,0,1,0,0,1,0,0,0,0,0,3
269,e0:55:3d:02:41:21,84:38:35:5a:70:40,4396.0,52.0,64.0,8.0,334.0,3463313731.0,59554.0,9670.0,,0,0,1,0,1,0,0,0,0,0,0,1
271,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,37183.0,52.0,64.0,8.0,80.0,4098640819.0,46110.0,1369.0,,0,0,1,0,1,0,0,0,0,0,0,3
273,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,29841.0,60.0,64.0,10.0,80.0,213233154.0,38122.0,65535.0,,0,0,1,0,0,0,0,0,0,1,0,3
276,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,29842.0,40.0,64.0,5.0,80.0,213233155.0,38122.0,1369.0,,0,0,1,0,1,0,0,0,0,0,0,3
277,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,29843.0,186.0,64.0,5.0,80.0,213233155.0,38122.0,1369.0,162.0,0,0,1,0,0,0,1,0,0,0,0,3
278,e0:55:3d:02:41:21,84:38:35:5a:70:40,56228.0,52.0,64.0,8.0,334.0,525020397.0,59629.0,4096.0,,0,0,1,0,0,1,0,0,0,0,0,1
279,e0:55:3d:02:41:21,84:38:35:5a:70:40,11264.0,52.0,64.0,8.0,334.0,4162609129.0,59638.0,4096.0,,0,0,1,0,0,1,0,0,0,0,0,1
280,e0:55:3d:02:41:21,84:38:35:5a:70:40,24334.0,64.0,64.0,11.0,334.0,664425494.0,59641.0,65535.0,,0,0,1,0,0,0,0,0,0,1,0,1
281,e0:55:3d:02:41:21,84:38:35:5a:70:40,45650.0,1436.0,64.0,8.0,334.0,1974406774.0,59576.0,4096.0,3962.0,0,0,1,0,1,0,0,0,0,0,0,1
282,e0:55:3d:02:41:21,84:38:35:5a:70:40,64687.0,495.0,64.0,8.0,334.0,1974408158.0,59576.0,4096.0,1271.0,0,0,1,0,0,0,1,0,0,0,0,1
283,e0:55:3d:02:41:21,84:38:35:5a:70:40,16070.0,1436.0,64.0,8.0,334.0,2777466330.0,59577.0,4096.0,3925.0,0,0,1,0,1,0,0,0,0,0,0,1
284,e0:55:3d:02:41:21,84:38:35:5a:70:40,39009.0,494.0,64.0,8.0,334.0,2777467714.0,59577.0,4096.0,1265.0,0,0,1,0,0,0,1,0,0,0,0,1
285,e0:55:3d:02:41:21,84:38:35:5a:70:40,43163.0,591.0,64.0,8.0,334.0,2669766687.0,59558.0,4096.0,1578.0,0,0,1,0,0,0,1,0,0,0,0,1
286,e0:55:3d:02:41:21,84:38:35:5a:70:40,19259.0,91.0,64.0,8.0,334.0,2669767226.0,59558.0,4096.0,130.0,0,0,1,0,0,0,1,0,0,0,0,1
287,e0:55:3d:02:41:21,84:38:35:5a:70:40,37331.0,611.0,64.0,8.0,334.0,2669767265.0,59558.0,4096.0,1618.0,0,0,1,0,0,0,1,0,0,0,0,1
288,e0:55:3d:02:41:21,84:38:35:5a:70:40,8536.0,172.0,64.0,8.0,334.0,1209604246.0,59578.0,4096.0,379.0,0,0,1,0,0,0,1,0,0,0,0,1
289,e0:55:3d:02:41:21,84:38:35:5a:70:40,41174.0,98.0,64.0,8.0,334.0,1209604366.0,59578.0,4096.0,140.0,0,0,1,0,0,0,1,0,0,0,0,1
295,e0:55:3d:02:41:21,84:38:35:5a:70:40,24692.0,52.0,64.0,8.0,334.0,525020398.0,59629.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
296,e0:55:3d:02:41:21,84:38:35:5a:70:40,42699.0,52.0,64.0,8.0,334.0,664425495.0,59641.0,65535.0,,0,0,1,0,1,0,0,0,0,0,0,1
297,e0:55:3d:02:41:21,84:38:35:5a:70:40,1142.0,569.0,64.0,8.0,334.0,664425495.0,59641.0,65535.0,1802.0,0,0,1,0,0,0,1,0,0,0,0,1
299,e0:55:3d:02:41:21,84:38:35:5a:70:40,9428.0,52.0,64.0,8.0,334.0,4162609130.0,59638.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
307,e0:55:3d:02:41:21,84:38:35:5a:70:40,50143.0,52.0,64.0,8.0,334.0,2669767824.0,59558.0,4093.0,,0,0,1,0,1,0,0,0,0,0,0,1
308,e0:55:3d:02:41:21,84:38:35:5a:70:40,60736.0,52.0,64.0,8.0,334.0,2669767824.0,59558.0,4087.0,,0,0,1,0,1,0,0,0,0,0,0,1
309,e0:55:3d:02:41:21,84:38:35:5a:70:40,36603.0,52.0,64.0,8.0,334.0,1209604412.0,59578.0,4094.0,,0,0,1,0,1,0,0,0,0,0,0,1
310,e0:55:3d:02:41:21,84:38:35:5a:70:40,38330.0,52.0,64.0,8.0,334.0,1209604412.0,59578.0,4090.0,,0,0,1,0,1,0,0,0,0,0,0,1
312,e0:55:3d:02:41:21,84:38:35:5a:70:40,828.0,73.0,64.0,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1
313,e0:55:3d:02:41:21,84:38:35:5a:70:40,26055.0,842.0,64.0,8.0,334.0,4169705226.0,59559.0,4096.0,2324.0,0,0,1,0,0,0,1,0,0,0,0,1
314,e0:55:3d:02:41:21,84:38:35:5a:70:40,43934.0,98.0,64.0,8.0,334.0,4169706016.0,59559.0,4096.0,153.0,0,0,1,0,0,0,1,0,0,0,0,1
318,e0:55:3d:02:41:21,84:38:35:5a:70:40,15094.0,738.0,64.0,8.0,334.0,4169706062.0,59559.0,4096.0,1968.0,0,0,1,0,0,0,1,0,0,0,0,1
319,e0:55:3d:02:41:21,84:38:35:5a:70:40,64730.0,647.0,64.0,8.0,334.0,4169706748.0,59559.0,4096.0,1687.0,0,0,1,0,0,0,1,0,0,0,0,1
321,e0:55:3d:02:41:21,84:38:35:5a:70:40,30229.0,52.0,64.0,8.0,334.0,664426012.0,59641.0,65535.0,,0,0,1,0,1,0,0,0,0,0,0,1
323,e0:55:3d:02:41:21,84:38:35:5a:70:40,59186.0,52.0,64.0,8.0,334.0,1974408601.0,59576.0,4083.0,,0,0,1,0,1,0,0,0,0,0,0,1
324,e0:55:3d:02:41:21,84:38:35:5a:70:40,48911.0,127.0,64.0,8.0,334.0,664426012.0,59641.0,65535.0,242.0,0,0,1,0,0,0,1,0,0,0,0,1
327,e0:55:3d:02:41:21,84:38:35:5a:70:40,14442.0,1500.0,64.0,8.0,334.0,664426087.0,59641.0,65535.0,4215.0,0,0,1,0,1,0,0,0,0,0,0,1
328,e0:55:3d:02:41:21,84:38:35:5a:70:40,53085.0,1500.0,64.0,8.0,334.0,664427535.0,59641.0,65535.0,4183.0,0,0,1,0,1,0,0,0,0,0,0,1
