,Ether_dst,Ether_src,IP_id,IP_len,IP_proto,IP_ttl,TCP_dataofs,TCP_dport,TCP_flags,TCP_seq,TCP_sport,TCP_window,load_len
2955,e0:55:3d:02:41:21,84:38:35:5a:70:40,6281.0,52.0,tcp,64.0,8.0,334.0,A,3948040077.0,59562.0,5048.0,
2956,e0:55:3d:02:41:21,84:38:35:5a:70:40,49208.0,52.0,tcp,64.0,8.0,334.0,A,3948040077.0,59562.0,5050.0,
2957,e0:55:3d:02:41:21,84:38:35:5a:70:40,9242.0,98.0,tcp,64.0,8.0,334.0,PA,3948040077.0,59562.0,5051.0,165.0
2958,84:38:35:5a:70:40,e0:55:3d:02:41:21,1613.0,52.0,tcp,58.0,8.0,59562.0,A,2606516311.0,334.0,811.0,
2959,84:38:35:5a:70:40,e0:55:3d:02:41:21,37091.0,52.0,tcp,57.0,8.0,59554.0,A,740911085.0,334.0,338.0,
2960,84:38:35:5a:70:40,e0:55:3d:02:41:21,37092.0,188.0,tcp,57.0,8.0,59554.0,PA,740911085.0,334.0,338.0,371.0
2961,e0:55:3d:02:41:21,84:38:35:5a:70:40,43476.0,52.0,tcp,64.0,8.0,334.0,A,3463331161.0,59554.0,9671.0,
2962,88:15:44:aa:47:2e,e0:55:3d:02:41:21,36384.0,188.0,udp,250.0,,,,,,,447.0
2963,28:f0:76:31:d3:58,e0:55:3d:02:41:21,36452.0,688.0,tcp,58.0,8.0,65474.0,PA,1204039566.0,334.0,811.0,1849.0
2964,28:f0:76:31:d3:58,e0:55:3d:02:41:21,36453.0,1470.0,tcp,58.0,8.0,65474.0,PA,1204040202.0,334.0,811.0,4067.0
2965,28:f0:76:31:d3:58,e0:55:3d:02:41:21,36454.0,78.0,tcp,58.0,8.0,65474.0,PA,1204041620.0,334.0,811.0,78.0
2966,e0:55:3d:02:41:21,28:f0:76:31:d3:58,0.0,52.0,tcp,64.0,8.0,334.0,A,1747378873.0,65474.0,4076.0,
2967,e0:55:3d:02:41:21,28:f0:76:31:d3:58,0.0,52.0,tcp,64.0,8.0,334.0,A,1747378873.0,65474.0,4031.0,
2968,e0:55:3d:02:41:21,28:f0:76:31:d3:58,0.0,52.0,tcp,64.0,8.0,334.0,A,1747378873.0,65474.0,4031.0,
2969,e0:55:3d:02:41:21,28:f0:76:31:d3:58,0.0,280.0,tcp,64.0,8.0,4070.0,PA,651048005.0,61502.0,4096.0,661.0
2970,e0:55:3d:02:41:21,84:38:35:5a:70:40,36505.0,40.0,tcp,64.0,5.0,334.0,A,2184355416.0,59633.0,4096.0,
2971,84:38:35:5a:70:40,e0:55:3d:02:41:21,9406.0,52.0,tcp,58.0,8.0,59633.0,A,2879837304.0,334.0,179.0,
2972,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16428.0,360.0,tcp,64.0,8.0,80.0,PA,1492503273.0,57006.0,1673.0,330.0
2973,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21191.0,611.0,tcp,57.0,8.0,57006.0,PA,1756624190.0,80.0,338.0,599.0
